subject,author,like,link,genre,rating,subscribe,episode,upload,present,avg_like
Between Two Lips,TEN-KEI,78504.0,https://www.webtoons.com/th/romantic-fantasy/between-two-lips/list?title_no=2451,โรแมนซ์แฟนตาซี,7.89,117800.0,17.0,วันพฤหัสบดี,ยังไม่จบ,4617.88
สัมผัสรักแตะใจเธอ,ซนพัง / ลีดัลอา,179734.0,https://www.webtoons.com/th/romance/touch-touch-u/list?title_no=2281,โรแมนซ์,9.86,159000.0,31.0,วันพฤหัสบดี,ยังไม่จบ,5797.87
ลุ้นรักป่วนใจนายไฮโซ,คิมจิซู,759904.0,https://www.webtoons.com/th/romance/high-social/list?title_no=1636,โรแมนซ์,9.71,278700.0,101.0,วันพุธ,ยังไม่จบ,7523.8
รูมเมตฉันคือคุณชายจิ้งจอก,นา,6858.0,https://www.webtoons.com/th/romance/my-roommate-is-a-gumiho/list?title_no=2804,โรแมนซ์,9.56,29100.0,3.0,วันพุธ,ยังไม่จบ,2286.0
คู่รักวิวาห์ต้องห้าม,Chun Ji hye / ซันแช็ก,620724.0,https://www.webtoons.com/th/romance/no-marriage/list?title_no=1765,โรแมนซ์,9.84,310100.0,82.0,วันศุกร์,ยังไม่จบ,7569.8
ผู้ประกาศข่าวที่รัก,MILKA / Z6,40166.0,https://www.webtoons.com/th/romance/berita-cinta/list?title_no=2553,โรแมนซ์,9.81,70700.0,10.0,วันพุธ,ยังไม่จบ,4016.6
MAY I ขอรักเธอได้ไหม?,Narusha Dithabenjakul / SsM SlitheringMe,1200000.0,https://www.webtoons.com/th/bl-gl/may-i/list?title_no=1373,วาย,9.76,534800.0,155.0,วันศุกร์,ยังไม่จบ,7741.94
Playlist สื่อรัก,2F,59550.0,https://www.webtoons.com/th/romance/play-flea/list?title_no=2524,โรแมนซ์,9.86,80200.0,13.0,วันพฤหัสบดี,ยังไม่จบ,4580.77
My Pre-Wedding,Annisa Nisfihani,2200000.0,https://www.webtoons.com/th/romance/pasturi-gaje/list?title_no=717,โรแมนซ์,9.84,1000000.0,204.0,วันพฤหัสบดี,ยังไม่จบ,10784.31
อริร้าย กลายรัก,แทกอน / จองยุน,211124.0,https://www.webtoons.com/th/romance/love-your-enemy/list?title_no=2144,โรแมนซ์,9.82,168100.0,40.0,วันศุกร์,ยังไม่จบ,5278.1
Princess without a heart เจ้าหญิงและหัวใจที่หายไป,Lingling44,49812.0,https://www.webtoons.com/th/romance/princess-without-a-heart/list?title_no=2497,โรแมนซ์,9.9,67200.0,11.0,วันพุธ,ยังไม่จบ,4528.36
คู่รักหวานซ่อนเปรี้ยว,จังกรีน / โฟลว์บี,130367.0,https://www.webtoons.com/th/romance/bloody-sweet-couple/list?title_no=2288,โรแมนซ์,9.71,100300.0,29.0,วันเสาร์,ยังไม่จบ,4495.41
รักแรกของหญิงทรงเจ้า,อันซูมิน,367682.0,https://www.webtoons.com/th/romance/gyeonwoo/list?title_no=2017,โรแมนซ์,9.84,194700.0,56.0,วันพฤหัสบดี,ยังไม่จบ,6565.75
อร่อยนัก รักรุ่นน้อง,นายอง / ซึงอู,208277.0,https://www.webtoons.com/th/romance/nianxiade/list?title_no=2081,โรแมนซ์,8.67,131400.0,48.0,วันอาทิตย์,ยังไม่จบ,4339.1
แด่เธอผู้ครอบครองดวงดาว,ARI,199652.0,https://www.webtoons.com/th/romance/swallow-the-star/list?title_no=2157,โรแมนซ์,9.77,166300.0,40.0,วันเสาร์,ยังไม่จบ,4991.3
วาร์ปรักเสิร์ฟใจคุณนักเขียน,ทู่เกอเชาเปากู่ / ป๋ายสยง,106922.0,https://www.webtoons.com/th/romance/xindongshunyi/list?title_no=2386,โรแมนซ์,9.86,108700.0,22.0,วันพุธ,ยังไม่จบ,4860.09
Lily Boy อยากสวยช่วยผมหน่อย,Sochicz,952234.0,https://www.webtoons.com/th/bl-gl/lily-boy/list?title_no=1568,วาย,9.83,348000.0,110.0,วันจันทร์,ยังไม่จบ,8656.67
 รีเทิร์นกันไหมยัยแฟนเก่า,ฮีตก / คังฮาดา,210193.0,https://www.webtoons.com/th/romance/ex-has-a-crush-on-me/list?title_no=2161,โรแมนซ์,9.7,183200.0,40.0,วันพฤหัสบดี,ยังไม่จบ,5254.82
ชินบี,พันจี,291939.0,https://www.webtoons.com/th/romance/mystique/list?title_no=2014,โรแมนซ์,9.86,237100.0,47.0,วันอังคาร,ยังไม่จบ,6211.47
พระเอกของฉันคือพระรอง,Soy,206015.0,https://www.webtoons.com/th/romance/sub-complex/list?title_no=2160,โรแมนซ์,9.74,119800.0,38.0,วันพุธ,ยังไม่จบ,5421.45
ความรักลับๆ ของนายแอปเปิ้ลเขียว,อิกซุก / นักวอน,590120.0,https://www.webtoons.com/th/bl-gl/green-apple/list?title_no=1750,วาย,9.9,248900.0,89.0,วันจันทร์,ยังไม่จบ,6630.56
